James Harrison,/wiki/James_Harrison_(architect)
Thomas Harrison,/wiki/Thomas_Harrison_(architect)
Nicholas Hawksmoor,/wiki/Nicholas_Hawksmoor
Inigo Jones,/wiki/Inigo_Jones
Edmund Kirby,/wiki/Edmund_Kirby
Denys Lasdun,/wiki/Denys_Lasdun
Thomas Lockwood,/wiki/Thomas_Lockwood
Edwin Lutyens,/wiki/Edwin_Lutyens
William Morris,/wiki/William_Morris
John Nash,/wiki/John_Nash_(architect)
Regent's Park,/wiki/Regent%27s_Park
St. James's Park,/wiki/St._James%27s_Park
Trafalgar Square,/wiki/Trafalgar_Square
Henry Paley,/wiki/Henry_Paley
Joseph Paxton,/wiki/Joseph_Paxton
The Crystal Palace,/wiki/The_Crystal_Palace
The Great Exhibition,/wiki/The_Great_Exhibition
Thomas Mainwaring Penson,/wiki/Thomas_Mainwaring_Penson
August Pugin,/wiki/August_Pugin
Houses of Parliament,/wiki/Houses_of_Parliament
Anthony Salvin,/wiki/Anthony_Salvin
Giles Gilbert Scott,/wiki/Giles_Gilbert_Scott
Waterloo Bridge,/wiki/Waterloo_Bridge
House of Commons,/wiki/Houses_of_Parliament
Edmund Sharpe,/wiki/Edmund_Sharpe
John William Simpson,/wiki/John_William_Simpson_(architect)
John Vanbrugh,/wiki/John_Vanbrugh
Baroque,/wiki/Baroque
Blenheim Palace,/wiki/Blenheim_Palace
Derek Walker,/wiki/Derek_Walker
Alfred Waterhouse,/wiki/Alfred_Waterhouse
Natural History Museum,"/wiki/Natural_History_Museum,_London"
William Wilkins,/wiki/William_Wilkins_(architect)
National Gallery,"/wiki/National_Gallery,_London"
Christopher Wren,/wiki/Christopher_Wren
edit,/w/index.php?title=List_of_English_people&action=edit&section=4
Sophie Gengembre Anderson,/wiki/Sophie_Gengembre_Anderson
James Andrews,/wiki/James_Andrews_(botanical_artist)
Richard Ansdell,/wiki/Richard_Ansdell
Banksy,/wiki/Banksy
graffiti,/wiki/Graffiti
Aubrey Beardsley,/wiki/Aubrey_Beardsley
Suzzan Blac,/wiki/Suzzan_Blac
Peter Blake,/wiki/Peter_Blake_(artist)
William Blake,/wiki/William_Blake
Albin R. Burt,/wiki/Albin_R._Burt
Anthony Caro,/wiki/Anthony_Caro
Anna Maria Charretie,/wiki/Anna_Maria_Charretie
John Constable,/wiki/John_Constable
Tracey Emin,/wiki/Tracey_Emin
Thomas Gainsborough,/wiki/Thomas_Gainsborough
Andy Goldsworthy,/wiki/Andy_Goldsworthy
Land Art,/wiki/Land_Art
Antony Gormley,/wiki/Antony_Gormley
James Henry Govier,/wiki/James_Henry_Govier
Steven Harris (cartoonist),/wiki/Steven_Harris_(cartoonist)
Thomas Hazlehurst,/wiki/Thomas_Hazlehurst_(artist)
Barbara Hepworth,/wiki/Barbara_Hepworth
Jamie Hewlett,/wiki/Jamie_Hewlett
Nicholas Hilliard,/wiki/Nicholas_Hilliard
Damien Hirst,/wiki/Damien_Hirst
David Hockney,/wiki/David_Hockney
Howard Hodgkin,/wiki/Howard_Hodgkin
William Hogarth,/wiki/William_Hogarth
William Holman Hunt,/wiki/William_Holman_Hunt
Master Hugo,/wiki/Master_Hugo
Edwin Landseer,/wiki/Edwin_Landseer
Richard Long,/wiki/Richard_Long_(artist)
Chris Ofili,/wiki/Chris_Ofili
John Everett Millais,/wiki/John_Everett_Millais
Henry Moore,/wiki/Henry_Moore
William Morris,/wiki/William_Morris
Lawrence Mynott,/wiki/Lawrence_Mynott
George Passmore,/wiki/Gilbert_%26_George
Gilbert & George,/wiki/Gilbert_%26_George
Joshua Reynolds,/wiki/Joshua_Reynolds
Dante Gabriel Rossetti,/wiki/Dante_Gabriel_Rossetti
Bridget Riley,/wiki/Bridget_Riley
Stanley Spencer,/wiki/Stanley_Spencer
George Stubbs,/wiki/George_Stubbs
Joseph Mallord William Turner,/wiki/J.M.W._Turner
Flora Twort,/wiki/Flora_Twort
Mark Wallinger,/wiki/Mark_Wallinger
Rachel Whiteread,/wiki/Rachel_Whiteread
Joseph Wright of Derby,/wiki/Joseph_Wright_of_Derby
edit,/w/index.php?title=List_of_English_people&action=edit&section=5
Michael Aspel,/wiki/Michael_Aspel
David Attenborough,/wiki/David_Attenborough
Jeremy Clarkson,/wiki/Jeremy_Clarkson
Simon Cowell,/wiki/Simon_Cowell
Ray Mears,/wiki/Ray_Mears_(author)
Patrick Moore,/wiki/Patrick_Moore
Michael Parkinson,/wiki/Michael_Parkinson
Parkinson,/wiki/Parkinson_(TV_series)
John Peel,/wiki/John_Peel
Jonathan Ross,/wiki/Jonathan_Ross
Jimmy Savile,/wiki/Jimmy_Savile
Mike Smith,/wiki/Mike_Smith_(television_presenter)
edit,/w/index.php?title=List_of_English_people&action=edit&section=6
Richard Branson,/wiki/Richard_Branson
Sir John Brunner,"/wiki/Sir_John_Brunner,_1st_Baronet"
Frank Bustard,/wiki/Frank_Bustard
Joseph Crosfield,/wiki/Joseph_Crosfield
Abraham Darby,/wiki/Abraham_Darby_I
William Gossage,/wiki/William_Gossage
Philip Green,/wiki/Philip_Green
"James Hanson, Baron Hanson","/wiki/James_Hanson,_Baron_Hanson"
Thomas Hazlehurst,/wiki/Thomas_Hazlehurst_(businessman)
Robert Spear Hudson,/wiki/Robert_Spear_Hudson_(businessman)
John Hutchinson,/wiki/John_Hutchinson_(industrialist)
Peter Jones,/wiki/Peter_Jones_(entrepreneur)
Freddie Laker,/wiki/Freddie_Laker
William Losh,/wiki/William_Losh
Alfred Mond,"/wiki/Alfred_Mond,_1st_Baron_Melchett"
Henry Mond,"/wiki/Henry_Mond,_2nd_Baron_Melchett"
Julian Mond,"/wiki/Julian_Edward_Alfred_Mond,_3rd_Baron_Melchett"
Stephan Morais,/wiki/Stephan_Morais
"William Morris, 1st Viscount Nuffield","/wiki/William_Morris,_1st_Viscount_Nuffield"
Edmund Knowles Muspratt,/wiki/Edmund_Knowles_Muspratt
Richard Muspratt,/wiki/Richard_Muspratt
Charles Roe,/wiki/Charles_Roe
Titus Salt,/wiki/Titus_Salt
Ivan Stedeford,/wiki/Ivan_Stedeford
Alan Sugar,/wiki/Alan_Sugar
Richard Tompkins,/wiki/Richard_Tompkins
Josiah Wedgwood,/wiki/Josiah_Wedgwood
edit,/w/index.php?title=List_of_English_people&action=edit&section=7
Robert Irvine,/wiki/Robert_Irvine
Heston Blumenthal,/wiki/Heston_Blumenthal
Keith Floyd,/wiki/Keith_Floyd
Nigella Lawson,/wiki/Nigella_Lawson
James Martin,/wiki/James_Martin_(chef)
Jamie Oliver,/wiki/Jamie_Oliver
Marco Pierre White,/wiki/Marco_Pierre_White
Gordon Ramsay,/wiki/Gordon_Ramsay
Delia Smith,/wiki/Delia_Smith
Rick Stein,/wiki/Rick_Stein
Antony Worrall Thompson,/wiki/Antony_Worrall_Thompson
edit,/w/index.php?title=List_of_English_people&action=edit&section=8
Pope Adrian IV,/wiki/Pope_Adrian_IV
Thomas Arundel,/wiki/Thomas_Arundel
Richard Bancroft,/wiki/Richard_Bancroft
Richard Barnes,/wiki/Richard_Barnes_(bishop)
Lawrence Booth,/wiki/Lawrence_Booth
William Charles Cotton,/wiki/William_Charles_Cotton
Thomas Cranmer,/wiki/Thomas_Cranmer
Gildas,/wiki/Gildas
Trevor Huddleston,/wiki/Trevor_Huddleston
anti-Apartheid,/wiki/Anti-Apartheid_Movement
John Leland,/wiki/John_Leland_(Presbyterian)
John Henry Newman,/wiki/John_Henry_Newman
Plegmund,/wiki/Plegmund
William Smyth,/wiki/William_Smyth
Charles Spurgeon,/wiki/Charles_Spurgeon
Simon Sudbury,/wiki/Simon_Sudbury
Joshua Toulmin,/wiki/Joshua_Toulmin
John Wesley,/wiki/John_Wesley
edit,/w/index.php?title=List_of_English_people&action=edit&section=9
Myra Hindley,/wiki/Myra_Hindley
Moors murderer,/wiki/Moors_murders
Ian Huntley,/wiki/Ian_Huntley
Soham murderer,/wiki/Soham_murders
Kray twins,/wiki/Kray_twins
Jimmy Moody,/wiki/Jimmy_Moody
Harold Shipman,/wiki/Harold_Shipman
[1],#cite_note-1
Peter Sutcliffe,/wiki/Peter_Sutcliffe
Fred West,/wiki/Fred_West
Rosemary West,/wiki/Rosemary_West
Steve Wright,/wiki/Steve_Wright_(serial_killer)
Graham Young,/wiki/Graham_Young
edit,/w/index.php?title=List_of_English_people&action=edit&section=10
Guy Fawkes,/wiki/Guy_Fawkes
edit,/w/index.php?title=List_of_English_people&action=edit&section=11
R. G. D. Allen,/wiki/R._G._D._Allen
Norman Angell,/wiki/Norman_Angell
William Beveridge,/wiki/William_Beveridge
Edwin Cannan,/wiki/Edwin_Cannan
Colin Clark,/wiki/Colin_Clark_(economist)
Ronald Coase,/wiki/Ronald_Coase
Friedrich Hayek,/wiki/Friedrich_Hayek
John Hicks,/wiki/John_Hicks
John Holland (banker),/wiki/John_Holland_(banker)
Bank of Scotland,/wiki/Bank_of_Scotland
William Stanley Jevons,/wiki/William_Stanley_Jevons
John Maynard Keynes,/wiki/John_Maynard_Keynes
John Neville Keynes,/wiki/John_Neville_Keynes
Arthur Lewis,/wiki/Arthur_Lewis_(economist)
Thomas Malthus,/wiki/Thomas_Malthus
Alfred Marshall,/wiki/Alfred_Marshall
Mary Paley Marshall,/wiki/Mary_Paley_Marshall
James Meade,/wiki/James_Meade
John Stuart Mill,/wiki/John_Stuart_Mill
Arthur Cecil Pigou,/wiki/Arthur_Cecil_Pigou
Lionel Robbins,/wiki/Lionel_Robbins
Joan Violet Robinson,/wiki/Joan_Violet_Robinson
Richard Stone,/wiki/Richard_Stone
Robert Torrens,/wiki/Robert_Torrens_(economist)
Philip Wicksteed,/wiki/Philip_Wicksteed
edit,/w/index.php?title=List_of_English_people&action=edit&section=12
Benjamin Baker,/wiki/Benjamin_Baker_(engineer)
Forth Railway Bridge,/wiki/Forth_Railway_Bridge
William Baker,/wiki/William_Baker_(engineer)
Joseph Bazalgette,/wiki/Joseph_Bazalgette
James Beatty,/wiki/James_Beatty_(engineer)
Henry Bessemer,/wiki/Henry_Bessemer
Ronald Eric Bishop,/wiki/Ronald_Eric_Bishop
de Havilland Mosquito,/wiki/De_Havilland_Mosquito
James Brindley,/wiki/James_Brindley
Isambard Kingdom Brunel,/wiki/Isambard_Kingdom_Brunel
Sydney Camm,/wiki/Sydney_Camm
Donald Campbell,/wiki/Donald_Campbell_(engineer)
Edmund Dummer (naval engineer),/wiki/Edmund_Dummer_(naval_engineer)
William Tierney Clark,/wiki/William_Tierney_Clark
Geoffrey de Havilland,/wiki/Geoffrey_de_Havilland
John Ambrose Fleming,/wiki/John_Ambrose_Fleming
Tommy Flowers,/wiki/Tommy_Flowers
"Sir John Fowler, 1st Baronet","/wiki/Sir_John_Fowler,_1st_Baronet"
Forth Railway Bridge,/wiki/Forth_Railway_Bridge
Benjamin Hick,/wiki/Benjamin_Hick
John Hick,/wiki/John_Hick_(MP)
Eric Laithwaite,/wiki/Eric_Laithwaite
William Mackenzie,/wiki/William_Mackenzie_(contractor)
R.J. Mitchell,/wiki/R.J._Mitchell
Henry Royce,/wiki/Henry_Royce
George Stephenson,/wiki/George_Stephenson
Nevil Shute,/wiki/Nevil_Shute
Thomas Telford,/wiki/Thomas_Telford
Charles Todd (meteorologist),/wiki/Charles_Todd_(meteorologist)
Barnes Wallis,/wiki/Barnes_Wallis
John Webster,/wiki/John_Webster_(engineer)
Joseph Whitworth,/wiki/Joseph_Whitworth
edit,/w/index.php?title=List_of_English_people&action=edit&section=13
Gertrude Bell,/wiki/Gertrude_Bell
Thomas Cavendish,/wiki/Thomas_Cavendish
Sea Dogs,/wiki/Sea_Dogs
James Cook,/wiki/James_Cook
William Dampier,/wiki/William_Dampier
Charles Montagu Doughty,/wiki/Charles_Montagu_Doughty
Francis Drake,/wiki/Francis_Drake
John Davis (English explorer),/wiki/John_Davis_(English_explorer)
Ranulph Fiennes,/wiki/Ranulph_Fiennes
Guinness Book of Records,/wiki/Guinness_Book_of_Records
Martin Frobisher,/wiki/Martin_Frobisher
Sea Dogs,/wiki/Sea_Dogs
Rob Gauntlett,/wiki/Rob_Gauntlett
Everest,/wiki/Everest
Robin Knox-Johnston,/wiki/Robin_Knox-Johnston
Michael Palin,/wiki/Michael_Palin
Walter Raleigh,/wiki/Walter_Raleigh
Robert Falcon Scott,/wiki/Robert_Falcon_Scott
Ed Stafford,/wiki/Ed_Stafford
Amazon River,/wiki/Amazon_River
Freya Stark,/wiki/Freya_Stark
Wilfred Thesiger,/wiki/Wilfred_Thesiger
edit,/w/index.php?title=List_of_English_people&action=edit&section=14
Richard Attenborough,/wiki/Richard_Attenborough
John Boorman,/wiki/John_Boorman
John and Roy Boulting,/wiki/John_and_Roy_Boulting
Charlie Chaplin,/wiki/Charlie_Chaplin
Alan Clarke,/wiki/Alan_Clarke
Mike Figgis,/wiki/Mike_Figgis
Lewis Gilbert,/wiki/Lewis_Gilbert
David Hare,/wiki/David_Hare_(dramatist)
Alfred Hitchcock,/wiki/Alfred_Hitchcock
Peter Howitt,/wiki/Peter_Howitt
Humphrey Jennings,/wiki/Humphrey_Jennings
Stan Laurel,/wiki/Stan_Laurel
David Lean,/wiki/David_Lean
Mike Leigh,/wiki/Mike_Leigh
Ken Loach,/wiki/Ken_Loach
Nick Love,/wiki/Nick_Love
Anthony Minghella,/wiki/Anthony_Minghella
Mike Newell,/wiki/Mike_Newell_(director)
Christopher Nolan,/wiki/Christopher_Nolan
Nick Park,/wiki/Nick_Park
Michael Powell,/wiki/Michael_Powell_(director)
Guy Ritchie,/wiki/Guy_Ritchie
Ken Russell,/wiki/Ken_Russell
Ridley Scott,/wiki/Ridley_Scott
Tony Scott,/wiki/Tony_Scott
edit,/w/index.php?title=List_of_English_people&action=edit&section=15
William Camden,/wiki/William_Camden
Edward Gibbon,/wiki/Edward_Gibbon
Richard Holmes (military historian),/wiki/Richard_Holmes_(military_historian)
Sir Peter Leycester,"/wiki/Sir_Peter_Leycester,_1st_Baronet"
George Ormerod,/wiki/George_Ormerod
Nicholas Rodger,/wiki/Nicholas_Rodger
John Speed,/wiki/John_Speed
A.J.P. Taylor,/wiki/A.J.P._Taylor
edit,/w/index.php?title=List_of_English_people&action=edit&section=16
Chris Addison,/wiki/Chris_Addison
Chesney Allen,/wiki/Chesney_Allen
Stephen K. Amos,/wiki/Stephen_K._Amos
Rowan Atkinson,/wiki/Rowan_Atkinson
Richard Ayoade,/wiki/Richard_Ayoade
Ronnie Barker,/wiki/Ronnie_Barker
Sacha Baron Cohen,/wiki/Sacha_Baron_Cohen
Julian Barratt,/wiki/Julian_Barratt
Matt Berry,/wiki/Matt_Berry
John Bird,/wiki/John_Bird_(actor)
Jo Brand,/wiki/Jo_Brand
Charlie Brooker,/wiki/Charlie_Brooker
Adam Buxton,/wiki/Adam_Buxton
Roy 'Chubby' Brown,/wiki/Roy_%27Chubby%27_Brown
Alan Carr,/wiki/Alan_Carr
Jimmy Carr,/wiki/Jimmy_Carr
Jasper Carrott,/wiki/Jasper_Carrott
Graham Chapman,/wiki/Graham_Chapman
John Cleese,/wiki/John_Cleese
Steve Coogan,/wiki/Steve_Coogan
Peter Cook,/wiki/Peter_Cook
Tommy Cooper,/wiki/Tommy_Cooper
Barry Cryer,/wiki/Barry_Cryer
Jon Culshaw,/wiki/Jon_Culshaw
Jim Davidson,/wiki/Jim_Davidson
Les Dawson,/wiki/Les_Dawson
Angus Deayton,/wiki/Angus_Deayton
Hugh Dennis,/wiki/Hugh_Dennis
Ken Dodd,/wiki/Ken_Dodd
Ade Edmondson,/wiki/Ade_Edmondson
Jo Enright,/wiki/Jo_Enright
Lee Evans,/wiki/Lee_Evans_(comedian)
Noel Fielding,/wiki/Noel_Fielding
Bud Flanagan,/wiki/Bud_Flanagan
John Fortune,/wiki/John_Fortune
Dawn French,/wiki/Dawn_French
Stephen Fry,/wiki/Stephen_Fry
Ricky Gervais,/wiki/Ricky_Gervais
Dave Gorman,/wiki/Dave_Gorman
Tony Hancock,/wiki/Tony_Hancock
Jeremy Hardy,/wiki/Jeremy_Hardy
Miranda Hart,/wiki/Miranda_Hart
Richard Herring,/wiki/Richard_Herring
Lenny Henry,/wiki/Lenny_Henry
Matthew Holness,/wiki/Matthew_Holness
Russell Howard,/wiki/Russell_Howard
Lee Hurst,/wiki/Lee_Hurst_(comedian)
Eric Idle,/wiki/Eric_Idle
Robin Ince,/wiki/Robin_Ince
Eddie Izzard,/wiki/Eddie_Izzard
Jethro,/wiki/Jethro_(comedian)
Russell Kane,/wiki/Russell_Kane
Peter Kay,/wiki/Peter_Kay
Hugh Laurie,/wiki/Hugh_Laurie
Stewart Lee,/wiki/Stewart_Lee
